Date,Month,Building,Building_Type,Occupancy,Heater_Use,AC_Use,Units_kWh,Peak_Load_kW
08/11/2025,11,Central Mess,Facility,400,0,0,611,84.69
08/11/2025,11,Central Labs,Facility,90,0,0,181,21.84
08/11/2025,11,Street Lighting,Facility,0,0,0,311,34.23
08/11/2025,11,Sports Complex,Facility,60,0,0,182,24.33
09/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,778,143.53
09/11/2025,11,Ravi Girls,Hostel,200,0,0,393,49.55
09/11/2025,11,Satluj,Hostel,350,0,0,604,98.39
09/11/2025,11,Chenab,Hostel,350,0,0,590,83.66
09/11/2025,11,beas,Hostel,300,0,0,525,61.82
09/11/2025,11,T6 PhD,Hostel,200,0,0,394,78.43
09/11/2025,11,Faculty Quarters,Residential,100,0,0,197,24.63
09/11/2025,11,CS Department,Academic,120,0,1,270,52.13
09/11/2025,11,Electrical Department,Academic,110,0,1,251,43.67
09/11/2025,11,Mechanical Department,Academic,130,0,1,286,54.41
09/11/2025,11,AI Center,Academic,80,0,1,236,31.15
09/11/2025,11,Central Library,Academic,150,0,1,310,31.34
09/11/2025,11,Admin Block,Academic,70,0,1,214,28.99
09/11/2025,11,Central Mess,Facility,400,0,0,651,102.43
09/11/2025,11,Central Labs,Facility,90,0,0,176,22.76
09/11/2025,11,Street Lighting,Facility,0,0,0,320,56.08
09/11/2025,11,Sports Complex,Facility,60,0,0,186,20.3
10/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,788,157.28
10/11/2025,11,Ravi Girls,Hostel,200,0,0,394,74.38
10/11/2025,11,Satluj,Hostel,350,0,0,572,112.61
10/11/2025,11,Chenab,Hostel,350,0,0,598,111.64
10/11/2025,11,beas,Hostel,300,0,0,535,91
10/11/2025,11,T6 PhD,Hostel,200,0,0,409,77.38
10/11/2025,11,Faculty Quarters,Residential,100,0,0,208,22.56
10/11/2025,11,CS Department,Academic,120,0,1,248,46.63
10/11/2025,11,Electrical Department,Academic,110,0,1,245,48.66
10/11/2025,11,Mechanical Department,Academic,130,0,1,262,44.75
10/11/2025,11,AI Center,Academic,80,0,1,250,35.61
10/11/2025,11,Central Library,Academic,150,0,1,313,44.9
10/11/2025,11,Admin Block,Academic,70,0,1,230,36.14
10/11/2025,11,Central Mess,Facility,400,0,0,671,74.99
10/11/2025,11,Central Labs,Facility,90,0,0,172,28.91
10/11/2025,11,Street Lighting,Facility,0,0,0,348,37.68
10/11/2025,11,Sports Complex,Facility,60,0,0,153,27.57
11/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,794,82.83
11/11/2025,11,Ravi Girls,Hostel,200,0,0,380,75.73
11/11/2025,11,Satluj,Hostel,350,0,0,589,99.86
11/11/2025,11,Chenab,Hostel,350,0,0,601,97.93
11/11/2025,11,beas,Hostel,300,0,0,520,103.78
11/11/2025,11,T6 PhD,Hostel,200,0,0,362,68.82
11/11/2025,11,Faculty Quarters,Residential,100,0,0,191,37.41
11/11/2025,11,CS Department,Academic,120,0,1,285,41.49
11/11/2025,11,Electrical Department,Academic,110,0,1,246,28.77
11/11/2025,11,Mechanical Department,Academic,130,0,1,264,35.73
11/11/2025,11,AI Center,Academic,80,0,1,239,32.51
11/11/2025,11,Central Library,Academic,150,0,1,301,51.11
11/11/2025,11,Admin Block,Academic,70,0,1,235,33.16
11/11/2025,11,Central Mess,Facility,400,0,0,628,71.16
11/11/2025,11,Central Labs,Facility,90,0,0,177,34.51
11/11/2025,11,Street Lighting,Facility,0,0,0,346,66.4
11/11/2025,11,Sports Complex,Facility,60,0,0,177,33.03
12/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,782,139.01
12/11/2025,11,Ravi Girls,Hostel,200,0,0,406,46.71
12/11/2025,11,Satluj,Hostel,350,0,0,579,114.06
12/11/2025,11,Chenab,Hostel,350,0,0,567,60.3
12/11/2025,11,beas,Hostel,300,0,0,490,49.67
12/11/2025,11,T6 PhD,Hostel,200,0,0,387,70.16
12/11/2025,11,Faculty Quarters,Residential,100,0,0,217,41.52
12/11/2025,11,CS Department,Academic,120,0,1,284,49.9
12/11/2025,11,Electrical Department,Academic,110,0,1,259,37.57
12/11/2025,11,Mechanical Department,Academic,130,0,1,269,32.47
12/11/2025,11,AI Center,Academic,80,0,1,251,40.62
12/11/2025,11,Central Library,Academic,150,0,1,282,28.83
12/11/2025,11,Admin Block,Academic,70,0,1,205,31.16
12/11/2025,11,Central Mess,Facility,400,0,0,653,128.51
12/11/2025,11,Central Labs,Facility,90,0,0,188,21.32
12/11/2025,11,Street Lighting,Facility,0,0,0,314,56.04
12/11/2025,11,Sports Complex,Facility,60,0,0,158,19.16
13/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,783,105.75
13/11/2025,11,Ravi Girls,Hostel,200,0,0,389,60.48
13/11/2025,11,Satluj,Hostel,350,0,0,588,79.28
13/11/2025,11,Chenab,Hostel,350,0,0,578,110.43
13/11/2025,11,beas,Hostel,300,0,0,531,98.89
13/11/2025,11,T6 PhD,Hostel,200,0,0,363,52.97
13/11/2025,11,Faculty Quarters,Residential,100,0,0,196,24.66
13/11/2025,11,CS Department,Academic,120,0,1,281,45.54
13/11/2025,11,Electrical Department,Academic,110,0,1,249,26.79
13/11/2025,11,Mechanical Department,Academic,130,0,1,272,31.33
13/11/2025,11,AI Center,Academic,80,0,1,219,25.84
13/11/2025,11,Central Library,Academic,150,0,1,299,56.71
13/11/2025,11,Admin Block,Academic,70,0,1,231,45.58
13/11/2025,11,Central Mess,Facility,400,0,0,650,67.66
13/11/2025,11,Central Labs,Facility,90,0,0,199,26.82
13/11/2025,11,Street Lighting,Facility,0,0,0,305,34.18
13/11/2025,11,Sports Complex,Facility,60,0,0,173,32.77
14/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,775,131.01
14/11/2025,11,Ravi Girls,Hostel,200,0,0,406,66.09
14/11/2025,11,Satluj,Hostel,350,0,0,584,67.57
14/11/2025,11,Chenab,Hostel,350,0,0,571,72.91
14/11/2025,11,beas,Hostel,300,0,0,538,85.93
14/11/2025,11,T6 PhD,Hostel,200,0,0,406,55.64
14/11/2025,11,Faculty Quarters,Residential,100,0,0,205,36.08
14/11/2025,11,CS Department,Academic,120,0,1,249,43.51
14/11/2025,11,Electrical Department,Academic,110,0,1,245,41.34
14/11/2025,11,Mechanical Department,Academic,130,0,1,274,39.66
14/11/2025,11,AI Center,Academic,80,0,1,226,24.97
14/11/2025,11,Central Library,Academic,150,0,1,302,30.81
14/11/2025,11,Admin Block,Academic,70,0,1,241,26.25
14/11/2025,11,Central Mess,Facility,400,0,0,624,117.97
14/11/2025,11,Central Labs,Facility,90,0,0,175,23.71
14/11/2025,11,Street Lighting,Facility,0,0,0,317,34.46
14/11/2025,11,Sports Complex,Facility,60,0,0,181,28.2
15/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,793,89.42
15/11/2025,11,Ravi Girls,Hostel,200,0,0,365,69.34
15/11/2025,11,Satluj,Hostel,350,0,0,599,79.69
15/11/2025,11,Chenab,Hostel,350,0,0,576,70.58
15/11/2025,11,beas,Hostel,300,0,0,537,62.33
15/11/2025,11,T6 PhD,Hostel,200,0,0,389,45.64
15/11/2025,11,Faculty Quarters,Residential,100,0,0,182,27.75
15/11/2025,11,CS Department,Academic,120,0,1,283,56.52
15/11/2025,11,Electrical Department,Academic,110,0,1,258,50.81
15/11/2025,11,Mechanical Department,Academic,130,0,1,262,51.75
15/11/2025,11,AI Center,Academic,80,0,1,249,41.55
15/11/2025,11,Central Library,Academic,150,0,1,289,44.36
15/11/2025,11,Admin Block,Academic,70,0,1,207,24.57
15/11/2025,11,Central Mess,Facility,400,0,0,618,74.13
15/11/2025,11,Central Labs,Facility,90,0,0,183,20.4
15/11/2025,11,Street Lighting,Facility,0,0,0,337,53.29
15/11/2025,11,Sports Complex,Facility,60,0,0,183,24.17
16/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,755,100.91
16/11/2025,11,Ravi Girls,Hostel,200,0,0,382,59.17
16/11/2025,11,Satluj,Hostel,350,0,0,594,107.51
16/11/2025,11,Chenab,Hostel,350,0,0,591,59.26
16/11/2025,11,beas,Hostel,300,0,0,504,74.17
16/11/2025,11,T6 PhD,Hostel,200,0,0,389,43.05
16/11/2025,11,Faculty Quarters,Residential,100,0,0,193,37.31
16/11/2025,11,CS Department,Academic,120,0,1,281,33.19
16/11/2025,11,Electrical Department,Academic,110,0,1,278,47.86
16/11/2025,11,Mechanical Department,Academic,130,0,1,285,32.48
16/11/2025,11,AI Center,Academic,80,0,1,225,40.49
16/11/2025,11,Central Library,Academic,150,0,1,311,56.43
16/11/2025,11,Admin Block,Academic,70,0,1,228,43.5
16/11/2025,11,Central Mess,Facility,400,0,0,641,89.26
16/11/2025,11,Central Labs,Facility,90,0,0,210,35.99
16/11/2025,11,Street Lighting,Facility,0,0,0,337,51.89
16/11/2025,11,Sports Complex,Facility,60,0,0,180,22.18
17/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,751,115.92
17/11/2025,11,Ravi Girls,Hostel,200,0,0,398,44.45
17/11/2025,11,Satluj,Hostel,350,0,0,561,97.08
17/11/2025,11,Chenab,Hostel,350,0,0,569,106.89
17/11/2025,11,beas,Hostel,300,0,0,519,98.29
17/11/2025,11,T6 PhD,Hostel,200,0,0,397,69.57
17/11/2025,11,Faculty Quarters,Residential,100,0,0,206,35.93
17/11/2025,11,CS Department,Academic,120,0,1,269,46.11
17/11/2025,11,Electrical Department,Academic,110,0,1,248,33.28
17/11/2025,11,Mechanical Department,Academic,130,0,1,287,39.57
17/11/2025,11,AI Center,Academic,80,0,1,226,40.62
17/11/2025,11,Central Library,Academic,150,0,1,278,47.88
17/11/2025,11,Admin Block,Academic,70,0,1,233,37.24
17/11/2025,11,Central Mess,Facility,400,0,0,625,78.24
17/11/2025,11,Central Labs,Facility,90,0,0,182,35.66
17/11/2025,11,Street Lighting,Facility,0,0,0,305,42.73
17/11/2025,11,Sports Complex,Facility,60,0,0,159,30.4
18/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,767,123.6
18/11/2025,11,Ravi Girls,Hostel,200,0,0,402,77.67
18/11/2025,11,Satluj,Hostel,350,0,0,558,99.89
18/11/2025,11,Chenab,Hostel,350,0,0,596,105.57
18/11/2025,11,beas,Hostel,300,0,0,498,70.92
18/11/2025,11,T6 PhD,Hostel,200,0,0,399,73.43
18/11/2025,11,Faculty Quarters,Residential,100,0,0,180,20.04
18/11/2025,11,CS Department,Academic,120,0,1,283,31.83
18/11/2025,11,Electrical Department,Academic,110,0,1,278,44.7
18/11/2025,11,Mechanical Department,Academic,130,0,1,265,31.95
18/11/2025,11,AI Center,Academic,80,0,1,237,31.6
18/11/2025,11,Central Library,Academic,150,0,1,299,55.72
18/11/2025,11,Admin Block,Academic,70,0,1,209,28.15
18/11/2025,11,Central Mess,Facility,400,0,0,616,97.76
18/11/2025,11,Central Labs,Facility,90,0,0,195,30.76
18/11/2025,11,Street Lighting,Facility,0,0,0,323,42.36
18/11/2025,11,Sports Complex,Facility,60,0,0,169,20.62
19/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,798,94.01
19/11/2025,11,Ravi Girls,Hostel,200,0,0,408,63.54
19/11/2025,11,Satluj,Hostel,350,0,0,594,89.23
19/11/2025,11,Chenab,Hostel,350,0,0,567,79.23
19/11/2025,11,beas,Hostel,300,0,0,508,68.55
19/11/2025,11,T6 PhD,Hostel,200,0,0,408,42.29
19/11/2025,11,Faculty Quarters,Residential,100,0,0,219,34.77
19/11/2025,11,CS Department,Academic,120,0,1,249,38.21
19/11/2025,11,Electrical Department,Academic,110,0,1,268,41.8
19/11/2025,11,Mechanical Department,Academic,130,0,1,257,34.29
19/11/2025,11,AI Center,Academic,80,0,1,214,29.39
19/11/2025,11,Central Library,Academic,150,0,1,308,43.39
19/11/2025,11,Admin Block,Academic,70,0,1,230,42.32
19/11/2025,11,Central Mess,Facility,400,0,0,607,62.34
19/11/2025,11,Central Labs,Facility,90,0,0,195,23.32
19/11/2025,11,Street Lighting,Facility,0,0,0,307,33.9
19/11/2025,11,Sports Complex,Facility,60,0,0,150,28.31
20/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,757,83.23
20/11/2025,11,Ravi Girls,Hostel,200,0,0,373,59.8
20/11/2025,11,Satluj,Hostel,350,0,0,570,79.64
20/11/2025,11,Chenab,Hostel,350,0,0,575,80.87
20/11/2025,11,beas,Hostel,300,0,0,507,51.36
20/11/2025,11,T6 PhD,Hostel,200,0,0,382,70.6
20/11/2025,11,Faculty Quarters,Residential,100,0,0,198,31.34
20/11/2025,11,CS Department,Academic,120,0,1,249,47.57
20/11/2025,11,Electrical Department,Academic,110,0,1,249,31.36
20/11/2025,11,Mechanical Department,Academic,130,0,1,279,28.85
20/11/2025,11,AI Center,Academic,80,0,1,248,34.95
20/11/2025,11,Central Library,Academic,150,0,1,308,57.32
20/11/2025,11,Admin Block,Academic,70,0,1,224,39.87
20/11/2025,11,Central Mess,Facility,400,0,0,629,93.56
20/11/2025,11,Central Labs,Facility,90,0,0,203,28.93
20/11/2025,11,Street Lighting,Facility,0,0,0,313,54.51
20/11/2025,11,Sports Complex,Facility,60,0,0,172,21.64
21/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,792,112.6
21/11/2025,11,Ravi Girls,Hostel,200,0,0,388,45.46
21/11/2025,11,Satluj,Hostel,350,0,0,565,102.98
21/11/2025,11,Chenab,Hostel,350,0,0,596,93.96
21/11/2025,11,beas,Hostel,300,0,0,506,71.11
21/11/2025,11,T6 PhD,Hostel,200,0,0,371,44.76
21/11/2025,11,Faculty Quarters,Residential,100,0,0,200,25.27
21/11/2025,11,CS Department,Academic,120,0,1,274,43.77
21/11/2025,11,Electrical Department,Academic,110,0,1,245,38.55
21/11/2025,11,Mechanical Department,Academic,130,0,1,277,38.31
21/11/2025,11,AI Center,Academic,80,0,1,213,24.84
21/11/2025,11,Central Library,Academic,150,0,1,310,54.9
21/11/2025,11,Admin Block,Academic,70,0,1,213,27.45
21/11/2025,11,Central Mess,Facility,400,0,0,658,85.35
21/11/2025,11,Central Labs,Facility,90,0,0,205,28.63
21/11/2025,11,Street Lighting,Facility,0,0,0,321,55.62
21/11/2025,11,Sports Complex,Facility,60,0,0,183,28.18
22/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,792,146.24
22/11/2025,11,Ravi Girls,Hostel,200,0,0,402,53.64
22/11/2025,11,Satluj,Hostel,350,0,0,563,60.53
22/11/2025,11,Chenab,Hostel,350,0,0,579,98.72
22/11/2025,11,beas,Hostel,300,0,0,514,64.07
22/11/2025,11,T6 PhD,Hostel,200,0,0,396,39.69
22/11/2025,11,Faculty Quarters,Residential,100,0,0,217,34.51
22/11/2025,11,CS Department,Academic,120,0,1,264,51.49
22/11/2025,11,Electrical Department,Academic,110,0,1,250,38.55
22/11/2025,11,Mechanical Department,Academic,130,0,1,264,43.27
22/11/2025,11,AI Center,Academic,80,0,1,248,41.97
22/11/2025,11,Central Library,Academic,150,0,1,299,56.91
22/11/2025,11,Admin Block,Academic,70,0,1,228,23.98
22/11/2025,11,Central Mess,Facility,400,0,0,631,107.62
22/11/2025,11,Central Labs,Facility,90,0,0,194,30.18
22/11/2025,11,Street Lighting,Facility,0,0,0,306,31.64
22/11/2025,11,Sports Complex,Facility,60,0,0,156,18.6
23/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,772,138.6
23/11/2025,11,Ravi Girls,Hostel,200,0,0,398,57.91
23/11/2025,11,Satluj,Hostel,350,0,0,593,61.49
23/11/2025,11,Chenab,Hostel,350,0,0,589,91.92
23/11/2025,11,beas,Hostel,300,0,0,492,83.46
23/11/2025,11,T6 PhD,Hostel,200,0,0,382,40.7
23/11/2025,11,Faculty Quarters,Residential,100,0,0,183,32.77
23/11/2025,11,CS Department,Academic,120,0,1,265,40.28
23/11/2025,11,Electrical Department,Academic,110,0,1,240,24.59
23/11/2025,11,Mechanical Department,Academic,130,0,1,286,28.61
23/11/2025,11,AI Center,Academic,80,0,1,229,44.4
23/11/2025,11,Central Library,Academic,150,0,1,313,31.6
23/11/2025,11,Admin Block,Academic,70,0,1,231,23.97
23/11/2025,11,Central Mess,Facility,400,0,0,615,115.23
23/11/2025,11,Central Labs,Facility,90,0,0,181,19.76
23/11/2025,11,Street Lighting,Facility,0,0,0,319,55.43
23/11/2025,11,Sports Complex,Facility,60,0,0,150,22.01
24/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,799,103.58
24/11/2025,11,Ravi Girls,Hostel,200,0,0,384,49.05
24/11/2025,11,Satluj,Hostel,350,0,0,569,81.24
24/11/2025,11,Chenab,Hostel,350,0,0,578,64.99
24/11/2025,11,beas,Hostel,300,0,0,526,93.96
24/11/2025,11,T6 PhD,Hostel,200,0,0,365,72.36
24/11/2025,11,Faculty Quarters,Residential,100,0,0,203,29.79
24/11/2025,11,CS Department,Academic,120,0,1,272,47.42
24/11/2025,11,Electrical Department,Academic,110,0,1,246,47.79
24/11/2025,11,Mechanical Department,Academic,130,0,1,266,27.85
24/11/2025,11,AI Center,Academic,80,0,1,214,39.08
24/11/2025,11,Central Library,Academic,150,0,1,297,55.95
24/11/2025,11,Admin Block,Academic,70,0,1,237,41.67
24/11/2025,11,Central Mess,Facility,400,0,0,602,109.31
24/11/2025,11,Central Labs,Facility,90,0,0,196,31.22
24/11/2025,11,Street Lighting,Facility,0,0,0,333,48.53
24/11/2025,11,Sports Complex,Facility,60,0,0,175,25.84
25/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,783,145.8
25/11/2025,11,Ravi Girls,Hostel,200,0,0,399,77.07
25/11/2025,11,Satluj,Hostel,350,0,0,588,82.82
25/11/2025,11,Chenab,Hostel,350,0,0,562,95.3
25/11/2025,11,beas,Hostel,300,0,0,507,54.81
25/11/2025,11,T6 PhD,Hostel,200,0,0,372,70.47
25/11/2025,11,Faculty Quarters,Residential,100,0,0,219,41.24
25/11/2025,11,CS Department,Academic,120,0,1,250,33.7
25/11/2025,11,Electrical Department,Academic,110,0,1,265,49.41
25/11/2025,11,Mechanical Department,Academic,130,0,1,280,50.33
25/11/2025,11,AI Center,Academic,80,0,1,244,28.24
25/11/2025,11,Central Library,Academic,150,0,1,287,52.72
25/11/2025,11,Admin Block,Academic,70,0,1,238,38.52
25/11/2025,11,Central Mess,Facility,400,0,0,606,114.03
25/11/2025,11,Central Labs,Facility,90,0,0,202,36.88
25/11/2025,11,Street Lighting,Facility,0,0,0,342,42.02
25/11/2025,11,Sports Complex,Facility,60,0,0,165,30
26/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,778,97.93
26/11/2025,11,Ravi Girls,Hostel,200,0,0,372,60.15
26/11/2025,11,Satluj,Hostel,350,0,0,571,63.71
26/11/2025,11,Chenab,Hostel,350,0,0,578,105.12
26/11/2025,11,beas,Hostel,300,0,0,508,89.46
26/11/2025,11,T6 PhD,Hostel,200,0,0,391,71.95
26/11/2025,11,Faculty Quarters,Residential,100,0,0,194,37.48
26/11/2025,11,CS Department,Academic,120,0,1,251,29.46
26/11/2025,11,Electrical Department,Academic,110,0,1,242,31.48
26/11/2025,11,Mechanical Department,Academic,130,0,1,278,47.5
26/11/2025,11,AI Center,Academic,80,0,1,233,37.77
